site,zone,points,n_area,n_compactness,n_occlusivity,n_enclosure,area_m2,compactness,occlusivity_m,enclosure_ratio
Gendarmenmarkt,0,862,0.6513991531322505,0.49107153132250525,0.9579315081206506,0.2220728306264505,31753.703851508075,0.1287453944315544,607.9657308584688,0.17328171693735506
Hauptwache,0,987,0.3865606686930092,0.39507162107396193,0.8291752887537992,0.3751354508611955,20431.433860182377,0.11471990881458975,562.1658459979734,0.21476157041540034
Hauptwache,1,22,0.25887954545454545,0.8143449999999999,0.4882127272727273,0.5345618181818182,14972.901818181817,0.1759768181818182,440.88090909090914,0.2579659090909091
Hauptwache,2,75,0.2484918666666666,0.5292233333333333,0.4266846666666666,0.9575840000000003,14528.793733333338,0.1343197333333333,418.99653333333333,0.37260506666666676
Hauptwache,3,140,0.3161807857142859,0.24754007142857123,0.5099287142857144,0.5183261428571431,17422.600285714278,0.0931657142857143,448.6068571428571,0.2535659285714287
Römerberg,1,72,0.14951930555555554,0.930700138888889,0.06932930555555557,0.5536277777777779,10297.555972222222,0.1929756944444445,291.8809722222221,0.2631329166666667
Römerberg,2,227,0.12579669603524232,0.696497488986784,0.08521030837004409,0.7604655066079296,9283.36762114537,0.15875867841409685,297.5305286343612,0.3191863436123349
Römerberg,3,261,0.126699846743295,0.3616739080459769,0.1586281609195402,0.4614454789272034,9321.981264367816,0.10984049808429114,323.64567049808454,0.23815168582375498
Zeil,2,282,0.15321680851063849,0.4500839007092196,0.21331124113475183,1.0407256028368792,10455.620496453903,0.12275748226950355,343.09670212765957,0.39513677304964534
Zeil,3,25,0.18704200000000004,0.2524832,0.3459908000000001,0.7778208,11901.7004,0.09388800000000001,390.2931999999999,0.32388960000000006
Bebelplatz,0,38,0.47503210526315803,0.663066052631579,0.6636563157894738,0.38205710526315795,24213.73763157894,0.15387394736842105,503.2897368421053,0.21663736842105263
Bebelplatz,1,577,0.5830364298093588,1.1544737435008663,0.3210108492201043,0.49057870017330996,28831.087417677645,0.2256685268630852,381.40681109185465,0.2460468284228771
Bebelplatz,4,325,1.135904123076924,1.2207764,0.2931941846153846,0.24086273846153833,52467.04141538456,0.23535556923076914,371.5122769230773,0.17837381538461536
Alexanderplatz,0,197,0.5056084771573605,0.5452034010152286,0.6773501522842642,0.36257761421319784,25520.90563451776,0.13665426395939084,508.1600000000002,0.21135842639593913
