site,Gendarmenmarkt,Hauptwache,Römerberg,Zeil,Bebelplatz,Alexanderplatz,Marienplatz,Odeonsplatz,Konstablerwache,Alter Markt,Rathausmarkt,Naschmarkt,Burgplatz,Marktplatz,Augustusplatz,Hauptmarkt,Herderplatz,Theaterplatz
Gendarmenmarkt,0,0.2034827980108439,0.5781301410128429,0.49494131997944,0.3748354485545178,0.43714330639843435,0.5474221134197328,0.42536096359022385,0.20399950008036358,0.5101018424894875,0.4994558111184553,0.7382254086758395,0.2681756152073607,0.8898398331627569,0.29078790279297145,0.5566737350965979,0.5668367560702601,0.5316436346122688
Hauptwache,0.2034827980108439,0,0.4318442150087251,0.2918039360606554,0.21118368494449494,0.2901514623593995,0.35278054840108847,0.30107181850537107,0.1253507853747374,0.3605215489917447,0.3230446633765531,0.5551221382099354,0.20371490220246444,0.7015304065948308,0.12067153493352684,0.39221086028783375,0.40538660455152914,0.393994059983568
Römerberg,0.5781301410128429,0.4318442150087251,0,0.32890035147731167,0.4354073815071005,0.511270905145998,0.3639777649196605,0.4993757395277907,0.3968478508245867,0.09817107555151441,0.528306190737002,0.32502085921719853,0.374380191326252,0.49097041164198474,0.35323399934291827,0.17992680939746136,0.10124581481466861,0.18249008811511805
Zeil,0.49494131997944,0.2918039360606554,0.32890035147731167,0,0.23986114977828926,0.2915242839033517,0.12154720792275236,0.3268040111023535,0.34706052370663854,0.2788556380904837,0.22013968452769989,0.31893067535193986,0.3678917210193412,0.4572211978348725,0.23820114128972206,0.2518451405609087,0.27325440034591725,0.32661622654948685
Bebelplatz,0.3748354485545178,0.21118368494449494,0.4354073815071005,0.23986114977828926,0,0.09411702879355012,0.326227549220616,0.27764851590350575,0.254944969147332,0.3801998502343433,0.24664461430166706,0.5400664925830965,0.373714819799598,0.5773377788941337,0.19549298084567882,0.4322317952474621,0.3885604387354024,0.4013677020412713
Alexanderplatz,0.43714330639843435,0.2901514623593995,0.511270905145998,0.2915242839033517,0.09411702879355012,0,0.366740872155876,0.2922695689620252,0.3349937129621739,0.4579756724832864,0.25373889217873974,0.5886744870663716,0.4649468064455597,0.5923385768097167,0.2763255894044066,0.5086257009379148,0.456372180741736,0.46859415084761824
Marienplatz,0.5474221134197328,0.35278054840108847,0.3639777649196605,0.12154720792275236,0.326227549220616,0.366740872155876,0,0.3080712896386923,0.39720373601086545,0.30169674466622126,0.2920257508264582,0.2576551325334932,0.42557900877372595,0.5114272327163323,0.2823056148305194,0.2583907833387019,0.2905579300018325,0.3236754699795266
Odeonsplatz,0.42536096359022385,0.30107181850537107,0.4993757395277907,0.3268040111023535,0.27764851590350575,0.2922695689620252,0.3080712896386923,0,0.2958544062531057,0.40992879790704567,0.40051926572302654,0.519813932716288,0.46156109377639193,0.7323343122694163,0.22598655930852873,0.46964745126743074,0.41792630359388955,0.36750236701045536
Konstablerwache,0.20399950008036358,0.1253507853747374,0.3968478508245867,0.34706052370663854,0.254944969147332,0.3349937129621739,0.39720373601086545,0.2958544062531057,0,0.32230488840733784,0.4267027099069642,0.5686771338662004,0.21590681675840886,0.7351103824392675,0.11718407259644216,0.39882805503224045,0.3727837779453092,0.3336863364056572
Alter Markt,0.5101018424894875,0.3605215489917447,0.09817107555151441,0.2788556380904837,0.3801998502343433,0.4579756724832864,0.30169674466622126,0.40992879790704567,0.32230488840733784,0,0.48290954221229354,0.31316503796742085,0.326468238230486,0.5370226164317743,0.27076917386336324,0.15895238514940577,0.07464633785931218,0.11250477234557041
