site,Gendarmenmarkt,Hauptwache,Römerberg,Zeil,Bebelplatz,Alexanderplatz,Marienplatz,Odeonsplatz,Konstablerwache,Alter Markt,Rathausmarkt,Naschmarkt,Burgplatz,Marktplatz,Augustusplatz,Hauptmarkt,Herderplatz,Theaterplatz
Gendarmenmarkt,0,0.18061863373204867,0.5700315797795974,0.4138868846534387,0.3043783120734677,0.35459185811374655,0.5040458705053885,0.23799142465080247,0.33221461308003725,0.4699517831770272,0.15851893646850299,0.6340169277155507,0.3255952874131102,0.6938764300769724,0.1296999240873537,0.47382594705149905,0.4724755162767022,0.4624107125258217
Hauptwache,0.18061863373204867,0,0.45800340794612376,0.34055226607011657,0.3508882494381266,0.2878641205342318,0.41835502827993626,0.17635578063559137,0.18870424548873657,0.34115512828387795,0.06379024014224775,0.5433021856733902,0.2850044175556073,0.5928276024835738,0.1057224646219168,0.3790515997136196,0.3255290155947882,0.30972762499980944
Römerberg,0.5700315797795974,0.45800340794612376,0,0.23067867562467345,0.5443661830448399,0.31531181100710015,0.24613326462275226,0.372093459509041,0.2877207830214391,0.1499436000933193,0.445660836073571,0.24612873122254292,0.37568982044378496,0.17989385831671484,0.5114460185510517,0.12216441632516382,0.20983250226582464,0.24676548328495548
Zeil,0.4138868846534387,0.34055226607011657,0.23067867562467345,0,0.48039667415889387,0.21805444934493795,0.10929942797301906,0.19364860073896392,0.22134081626153063,0.1963364621160685,0.3145208597247992,0.22372218808811448,0.36014133110200247,0.2970765152780126,0.39995667979750105,0.20783521589052742,0.2620169708946758,0.29117609003491374
Bebelplatz,0.3043783120734677,0.3508882494381266,0.5443661830448399,0.48039667415889387,0,0.3374390809433985,0.584108413147031,0.401680494452627,0.4245760807003349,0.5072057292144464,0.3115193954076144,0.6828931106554875,0.2183620487659026,0.6741272032364153,0.2676923924977259,0.43771417566210097,0.5193301789333487,0.5143313569100539
Alexanderplatz,0.35459185811374655,0.2878641205342318,0.31531181100710015,0.21805444934493795,0.3374390809433985,0,0.2903592683971371,0.2429415747190089,0.25892500843542654,0.29825713766935463,0.23993906764676384,0.3847758371481504,0.29404721074734275,0.39833567068674197,0.3112036218578858,0.26648690764498406,0.3357535424215258,0.3499526624601609
Marienplatz,0.5040458705053885,0.41835502827993626,0.24613326462275226,0.10929942797301906,0.584108413147031,0.2903592683971371,0,0.27489280088319473,0.28882336474862086,0.23375725315360638,0.39825735183075484,0.13425218906233968,0.4624898382393792,0.2530760985940491,0.49048026306553244,0.2741154888193186,0.2972158756007625,0.33058205094915366
Odeonsplatz,0.23799142465080247,0.17635578063559137,0.372093459509041,0.19364860073896392,0.401680494452627,0.2429415747190089,0.27489280088319473,0,0.16096649904316657,0.26746977394909993,0.15819037935381583,0.4053326445423817,0.30657619529919183,0.4813012448773195,0.23931546487845418,0.30203574507008757,0.2891048244475595,0.29386621133163515
Konstablerwache,0.33221461308003725,0.18870424548873657,0.2877207830214391,0.22134081626153063,0.4245760807003349,0.25892500843542654,0.28882336474862086,0.16096649904316657,0,0.15490793103662906,0.2021397522961399,0.39510985433548873,0.2674841085071131,0.43248532239461157,0.266776449031451,0.22595371127734332,0.1435508744216417,0.13907680740580572
Alter Markt,0.4699517831770272,0.34115512828387795,0.1499436000933193,0.1963364621160685,0.5072057292144464,0.29825713766935463,0.23375725315360638,0.26746977394909993,0.15490793103662906,0,0.34387439416870147,0.29458252021227826,0.32347327784859153,0.30228149316085395,0.4094109145794449,0.1357707996536409,0.07856619558345594,0.11653001450310467
Rathausmarkt,0.15851893646850299,0.06379024014224775,0.445660836073571,0.3145208597247992,0.3115193954076144,0.23993906764676384,0.39825735183075484,0.15819037935381583,0.2021397522961399,0.34387439416870147,0,0.5242291916226933,0.268094035179514,0.5724440612873144,0.0998325158404843,0.36407432461461375,0.3415973287745822,0.33216756306667017
Naschmarkt,0.6340169277155507,0.5433021856733902,0.24612873122254292,0.22372218808811448,0.6828931106554875,0.3847758371481504,0.13425218906233968,0.4053326445423817,0.39510985433548873,0.29458252021227826,0.5242291916226933,0,0.5515558615779944,0.16364766825399207,0.6140734117258358,0.3208092710552524,0.36010968272873084,0.3985568043980688
Burgplatz,0.3255952874131102,0.2850044175556073,0.37568982044378496,0.36014133110200247,0.2183620487659026,0.29404721074734275,0.4624898382393792,0.30657619529919183,0.2674841085071131,0.32347327784859153,0.268094035179514,0.5515558615779944,0,0.534894191796359,0.25443178549436907,0.2593699394321433,0.3294319033407349,0.32423415984177567
Marktplatz,0.6938764300769724,0.5928276024835738,0.17989385831671484,0.2970765152780126,0.6741272032364153,0.39833567068674197,0.2530760985940491,0.4813012448773195,0.43248532239461157,0.30228149316085395,0.5724440612873144,0.16364766825399207,0.534894191796359,0,0.6513329202156493,0.2860777819043859,0.364862214443235,0.4040066558138604
Augustusplatz,0.1296999240873537,0.1057224646219168,0.5114460185510517,0.39995667979750105,0.2676923924977259,0.3112036218578858,0.49048026306553244,0.23931546487845418,0.266776449031451,0.4094109145794449,0.0998325158404843,0.6140734117258358,0.25443178549436907,0.6513329202156493,0,0.41696644171852637,0.3982255648201345,0.3822537959046823
Hauptmarkt,0.47382594705149905,0.3790515997136196,0.12216441632516382,0.20783521589052742,0.43771417566210097,0.26648690764498406,0.2741154888193186,0.30203574507008757,0.22595371127734332,0.1357707996536409,0.36407432461461375,0.3208092710552524,0.2593699394321433,0.2860777819043859,0.41696644171852637,0,0.19195755447508736,0.21972285836196379
Herderplatz,0.4724755162767022,0.3255290155947882,0.20983250226582464,0.2620169708946758,0.5193301789333487,0.3357535424215258,0.2972158756007625,0.2891048244475595,0.1435508744216417,0.07856619558345594,0.3415973287745822,0.36010968272873084,0.3294319033407349,0.364862214443235,0.3982255648201345,0.19195755447508736,0,0.04046127407452491
Theaterplatz,0.4624107125258217,0.30972762499980944,0.24676548328495548,0.29117609003491374,0.5143313569100539,0.3499526624601609,0.33058205094915366,0.29386621133163515,0.13907680740580572,0.11653001450310467,0.33216756306667017,0.3985568043980688,0.32423415984177567,0.4040066558138604,0.3822537959046823,0.21972285836196379,0.04046127407452491,0
