site,Gendarmenmarkt,Hauptwache,Römerberg,Zeil,Bebelplatz,Alexanderplatz,Marienplatz,Odeonsplatz,Konstablerwache,Alter Markt,Rathausmarkt,Naschmarkt,Burgplatz,Marktplatz,Augustusplatz,Hauptmarkt,Herderplatz,Theaterplatz
Gendarmenmarkt,0,0.19932225846301493,0.5716540908456746,0.4099983827033138,0.2954476359285908,0.3594828916262407,0.5069123516426495,0.24447455190168543,0.35388988644081243,0.4859128569471961,0.17272180043828655,0.6343553165936503,0.3023815320995524,0.6922783875184484,0.13138442865730762,0.4644988248891436,0.49818275802722917,0.4903174246153583
Hauptwache,0.19932225846301493,0,0.4357851516658999,0.3134988954955967,0.3664019871633479,0.27902977010041347,0.39414035043643114,0.16170978829274968,0.18670789580773417,0.33247056309224604,0.06506853314004746,0.5166825456349767,0.2656678599348409,0.5663929158834328,0.11382217394875076,0.3499023559493677,0.3280290015099545,0.31538712790473256
Römerberg,0.5716540908456746,0.4357851516658999,0,0.22404888398196848,0.5745101818200369,0.31867079565051776,0.225528680102693,0.36398281693492324,0.27068252152195044,0.14299453745725293,0.4313674059988318,0.2252048901260105,0.3873673954257226,0.17088230863373657,0.5007058913338178,0.1300695816883408,0.19803214322497864,0.23155678120185375
Zeil,0.4099983827033138,0.3134988954955967,0.22404888398196848,0,0.49026440723041764,0.221797892366041,0.11309033906086546,0.18497216707918798,0.20382566738568483,0.19284038396746336,0.2949065607827376,0.22755793248176912,0.3441733899471611,0.29790677612178346,0.37951524375261597,0.18922761042586397,0.2565354698348691,0.28174756745636714
Bebelplatz,0.2954476359285908,0.3664019871633479,0.5745101818200369,0.49026440723041764,0,0.34913695658786886,0.5974443500867243,0.412403916204089,0.46126289946713983,0.5479530897939281,0.32135043419130876,0.6974149531314675,0.23341190484022323,0.694059236810309,0.2722604837410076,0.46026599608873003,0.5694514394719498,0.5663946839008341
Alexanderplatz,0.3594828916262407,0.27902977010041347,0.31867079565051776,0.221797892366041,0.34913695658786886,0,0.29485464602935774,0.25068628844767604,0.2697004371979389,0.31467713627739996,0.2329721069923394,0.38674875800558417,0.2857862542731711,0.39727912765414103,0.30194402701577217,0.26230323894665797,0.3547375747757574,0.36729811888117
Marienplatz,0.5069123516426495,0.39414035043643114,0.225528680102693,0.11309033906086546,0.5974443500867243,0.29485464602935774,0,0.271942898487816,0.2656558252642119,0.2144147086996328,0.38325583901198507,0.1312966639513898,0.4498333088511389,0.24305171659209912,0.47464861666456665,0.2529111528140682,0.2745391770866566,0.30490651750827263
Odeonsplatz,0.24447455190168543,0.16170978829274968,0.36398281693492324,0.18497216707918798,0.412403916204089,0.25068628844767604,0.271942898487816,0,0.16271428913978053,0.27040528171908723,0.15130824739386178,0.3999566669745399,0.28704341296990205,0.4739901300260809,0.22838045516767,0.2828945620615046,0.29716330785583017,0.30092595682776163
Konstablerwache,0.35388988644081243,0.18670789580773417,0.27068252152195044,0.20382566738568483,0.46126289946713983,0.2697004371979389,0.2656558252642119,0.16271428913978053,0,0.14848185049595694,0.2095468139287339,0.36943499405824404,0.2769843175130909,0.4108621529350851,0.27741796262530494,0.20775665936852902,0.14717954212270332,0.14375055581741897
Alter Markt,0.4859128569471961,0.33247056309224604,0.14299453745725293,0.19284038396746336,0.5479530897939281,0.31467713627739996,0.2144147086996328,0.27040528171908723,0.14848185049595694,0,0.3447016177851027,0.2717996283112797,0.34393341121235355,0.2882088670398248,0.4137116798954564,0.1395652527763898,0.07482274359244206,0.10863814870764826
Rathausmarkt,0.17272180043828655,0.06506853314004746,0.4313674059988318,0.2949065607827376,0.32135043419130876,0.2329721069923394,0.38325583901198507,0.15130824739386178,0.2095468139287339,0.3447016177851027,0,0.5069116634075204,0.24610812606507118,0.5540980387348498,0.09833919799802603,0.3410062067410056,0.3527866134496958,0.3457307576605022
Naschmarkt,0.6343553165936503,0.5166825456349767,0.2252048901260105,0.22755793248176912,0.6974149531314675,0.38674875800558417,0.1312966639513898,0.3999566669745399,0.36943499405824404,0.2717996283112797,0.5069116634075204,0,0.5425556408674529,0.15456016772844883,0.5965025105466366,0.3055084246904442,0.33029635452353684,0.36550846762453504
Burgplatz,0.3023815320995524,0.2656678599348409,0.3873673954257226,0.3441733899471611,0.23341190484022323,0.2857862542731711,0.4498333088511389,0.28704341296990205,0.2769843175130909,0.34393341121235355,0.24610812606507118,0.5425556408674529,0,0.5356804312262595,0.23129092109468957,0.2630060187398868,0.36027472820016715,0.35674299256551584
Marktplatz,0.6922783875184484,0.5663929158834328,0.17088230863373657,0.29790677612178346,0.694059236810309,0.39727912765414103,0.24305171659209912,0.4739901300260809,0.4108621529350851,0.2882088670398248,0.5540980387348498,0.15456016772844883,0.5356804312262595,0,0.6345494725641223,0.28404678910482556,0.3427879697890477,0.3783376072540704
Augustusplatz,0.13138442865730762,0.11382217394875076,0.5007058913338178,0.37951524375261597,0.2722604837410076,0.30194402701577217,0.47464861666456665,0.22838045516767,0.27741796262530494,0.4137116798954564,0.09833919799802603,0.5965025105466366,0.23129092109468957,0.6345494725641223,0,0.39736209856351706,0.4147928974980266,0.40249161245399484
Hauptmarkt,0.4644988248891436,0.3499023559493677,0.1300695816883408,0.18922761042586397,0.46026599608873003,0.26230323894665797,0.2529111528140682,0.2828945620615046,0.20775665936852902,0.1395652527763898,0.3410062067410056,0.3055084246904442,0.2630060187398868,0.28404678910482556,0.39736209856351706,0,0.1952113177321943,0.21874343399327706
Herderplatz,0.49818275802722917,0.3280290015099545,0.19803214322497864,0.2565354698348691,0.5694514394719498,0.3547375747757574,0.2745391770866566,0.29716330785583017,0.14717954212270332,0.07482274359244206,0.3527866134496958,0.33029635452353684,0.36027472820016715,0.3427879697890477,0.4147928974980266,0.1952113177321943,0,0.03704047550618724
Theaterplatz,0.4903174246153583,0.31538712790473256,0.23155678120185375,0.28174756745636714,0.5663946839008341,0.36729811888117,0.30490651750827263,0.30092595682776163,0.14375055581741897,0.10863814870764826,0.3457307576605022,0.36550846762453504,0.35674299256551584,0.3783376072540704,0.40249161245399484,0.21874343399327706,0.03704047550618724,0
