site,Gendarmenmarkt,Hauptwache,Römerberg,Zeil,Bebelplatz,Alexanderplatz,Marienplatz,Odeonsplatz,Konstablerwache,Alter Markt,Rathausmarkt,Naschmarkt,Burgplatz,Marktplatz,Augustusplatz,Hauptmarkt,Herderplatz,Theaterplatz
Gendarmenmarkt,0,0.18560546253247268,0.44913546883441946,0.27617793958536396,0.30366980096765644,0.2961586730604531,0.3098242699966661,0.2269398732389552,0.2783332690849267,0.3761589130084987,0.22894017285648072,0.4471007002600155,0.3011813728635472,0.5469267772183544,0.2181563993430008,0.40328691356520746,0.3974697989851465,0.38265898662737563
Hauptwache,0.18560546253247268,0,0.3042548149075715,0.2290772513215989,0.29310604113840866,0.29009045533681865,0.24880639944883032,0.21378120376110288,0.17195720284769495,0.21753524526417295,0.14232071350788714,0.34577183712543713,0.2715327540214514,0.42326343798050153,0.1767567818703755,0.28822976829398894,0.23323829908657606,0.22048124543942055
Römerberg,0.44913546883441946,0.3042548149075715,0,0.2630526445524152,0.3842496327208861,0.3413902051451765,0.2627403255249886,0.3695837489240722,0.16517483049359422,0.13376520546032425,0.2918444571574243,0.23795854478992076,0.19019721147233337,0.1773101354587166,0.3252491539616919,0.17790304452420316,0.17116964251917235,0.13555325614436922
Zeil,0.27617793958536396,0.2290772513215989,0.2630526445524152,0,0.3621297397265481,0.28569335446628175,0.15275670083781567,0.22988931933660106,0.2637428189195422,0.23215048429707325,0.21455409445564144,0.2093431013858004,0.31706937931704277,0.23776810323629569,0.2844092065560029,0.2365800226996979,0.27097476817198013,0.2796000497318072
Bebelplatz,0.30366980096765644,0.29310604113840866,0.3842496327208861,0.3621297397265481,0,0.34172721518263427,0.42208087051258547,0.40830519327723047,0.37222524626777903,0.3685025058503752,0.3118232876084412,0.5082380929894991,0.26864344883751734,0.5311722347068978,0.31781043598352876,0.37136418124502624,0.375115744050692,0.3882436221750512
Alexanderplatz,0.2961586730604531,0.29009045533681865,0.3413902051451765,0.28569335446628175,0.34172721518263427,0,0.30348700039920085,0.2698654808102422,0.2842326260687643,0.2994860160214067,0.2819520357312997,0.3196477265910865,0.3294220605558389,0.31862849184318015,0.22506255469350597,0.3325958039081043,0.3808660059435583,0.36987766382507564
Marienplatz,0.3098242699966661,0.24880639944883032,0.2627403255249886,0.15275670083781567,0.42208087051258547,0.30348700039920085,0,0.21851827687145525,0.25131847630875914,0.19016881576483313,0.2552328050839805,0.12800173589795444,0.3603836259897196,0.22462315636481875,0.292827194336938,0.2580071832017101,0.25707250784556446,0.2561479115486789
Odeonsplatz,0.2269398732389552,0.21378120376110288,0.3695837489240722,0.22988931933660106,0.40830519327723047,0.2698654808102422,0.21851827687145525,0,0.22847166726224472,0.2853083237171049,0.22934058324956924,0.29319220922458317,0.33776164215814497,0.39092184046818856,0.2212365165212442,0.3662941552598836,0.34499779856652835,0.3367167771500817
Konstablerwache,0.2783332690849267,0.17195720284769495,0.16517483049359422,0.2637428189195422,0.37222524626777903,0.2842326260687643,0.25131847630875914,0.22847166726224472,0,0.12727167946651172,0.16912189876449604,0.271961745171216,0.2388758413944462,0.25608523545638906,0.2063098658619908,0.21843246020078133,0.18422771476779795,0.15230533377763736
Alter Markt,0.3761589130084987,0.21753524526417295,0.13376520546032425,0.23215048429707325,0.3685025058503752,0.2994860160214067,0.19016881576483313,0.2853083237171049,0.12727167946651172,0,0.22136793845289288,0.19531556823164992,0.22604269911238617,0.18448413784521267,0.27207757541407607,0.15009842357633357,0.12084907692056193,0.12073043994344329
