site,Gendarmenmarkt,Hauptwache,Römerberg,Zeil,Bebelplatz,Alexanderplatz,Marienplatz,Odeonsplatz,Konstablerwache,Alter Markt,Rathausmarkt,Naschmarkt,Burgplatz,Marktplatz,Augustusplatz,Hauptmarkt,Herderplatz,Theaterplatz
Gendarmenmarkt,0,0.18668116991957087,0.44816484204991225,0.2716205384014776,0.31717146764733245,0.29152830290244997,0.30709037655919635,0.22625106366692935,0.2792290016863779,0.38488268220205796,0.22393728953761727,0.450729363980278,0.2933090511001564,0.5413718621892155,0.21521728126446216,0.3936818012208957,0.41396857985271973,0.40059916080373603
Hauptwache,0.18668116991957087,0,0.2943052475044355,0.22297293284235223,0.30417300259027696,0.2883080625416784,0.23490209037845133,0.20175109516431894,0.1666621501891717,0.21341100837476779,0.1400948939699414,0.3353018648498634,0.26453611535663907,0.40872566149619316,0.17218978896729453,0.27353909059273507,0.234687806393798,0.22388794386976313
Römerberg,0.44816484204991225,0.2943052475044355,0,0.2551748182403314,0.3872258278842704,0.3410917391352566,0.2509561890094198,0.3565200397639967,0.16419693232880922,0.12907964529450347,0.28462503311074644,0.22301306562248804,0.19748947780016995,0.1742507101247651,0.3302236627539575,0.17948250111303554,0.1680970115588137,0.1343442247352088
Zeil,0.2716205384014776,0.22297293284235223,0.2551748182403314,0,0.37141873647167567,0.28191564878505626,0.15214979447748372,0.22433754113456605,0.25732310509470563,0.2265299357650523,0.20771066884782247,0.21353665856111412,0.32016115738875284,0.23429665468209065,0.2794288417276498,0.23308018679134662,0.27243015694768047,0.28114787455498197
Bebelplatz,0.31717146764733245,0.30417300259027696,0.3872258278842704,0.37141873647167567,0,0.34887291912297336,0.42639606261421015,0.41701495487329215,0.3782586262575652,0.38344006468696945,0.31920704924229965,0.5161493329963026,0.27511442384125,0.5312431711589519,0.32444497701163555,0.3747619342255664,0.39432525655994605,0.40894582915772876
Alexanderplatz,0.29152830290244997,0.2883080625416784,0.3410917391352566,0.28191564878505626,0.34887291912297336,0,0.2995482505572197,0.2742063628345002,0.28847238304725115,0.3126884482986962,0.2792433624977031,0.31689494715769206,0.33008289943934577,0.31711593520248527,0.22662594137776057,0.3319829615753629,0.3977598705033466,0.38698977676187374
Marienplatz,0.30709037655919635,0.23490209037845133,0.2509561890094198,0.15214979447748372,0.42639606261421015,0.2995482505572197,0,0.21248683960581666,0.2380660652284276,0.18159210618253074,0.24521865070150367,0.1286314127377018,0.3512471338423103,0.2161649519874037,0.2831163695560537,0.24319215530121846,0.24582302053736227,0.24150539342851765
Odeonsplatz,0.22625106366692935,0.20175109516431894,0.3565200397639967,0.22433754113456605,0.41701495487329215,0.2742063628345002,0.21248683960581666,0,0.21842423248296614,0.2789853968832229,0.22113928727006482,0.291965616000566,0.32712637132398115,0.3808634778638913,0.2123101225558366,0.34480758951687995,0.33547064478894667,0.3338818507405985
Konstablerwache,0.2792290016863779,0.1666621501891717,0.16419693232880922,0.25732310509470563,0.3782586262575652,0.28847238304725115,0.2380660652284276,0.21842423248296614,0,0.12395241052772013,0.16960564407448991,0.25980977602362276,0.23372014516681325,0.25051552981592917,0.20700454249702138,0.21730576311928973,0.18276326694434122,0.1530553883622024
Alter Markt,0.38488268220205796,0.21341100837476779,0.12907964529450347,0.2265299357650523,0.38344006468696945,0.3126884482986962,0.18159210618253074,0.2789853968832229,0.12395241052772013,0,0.22125555620745463,0.18413996852243264,0.23327504090255838,0.18126544918780388,0.27748263814212537,0.15052575920895322,0.12029071812708539,0.1193580139627285
Rathausmarkt,0.22393728953761727,0.1400948939699414,0.28462503311074644,0.20771066884782247,0.31920704924229965,0.2792433624977031,0.24521865070150367,0.22113928727006482,0.16960564407448991,0.22125555620745463,0,0.3305153051224229,0.3011080816244284,0.3849569258990293,0.18021923299710493,0.25156583361298823,0.25489896152180513,0.24880039410043775
Naschmarkt,0.450729363980278,0.3353018648498634,0.22301306562248804,0.21353665856111412,0.5161493329963026,0.31689494715769206,0.1286314127377018,0.291965616000566,0.25980977602362276,0.18413996852243264,0.3305153051224229,0,0.3850000878234313,0.18317705290822503,0.35054856610990726,0.2977285215526285,0.26057318784161615,0.2635200199514487
Burgplatz,0.2933090511001564,0.26453611535663907,0.19748947780016995,0.32016115738875284,0.27511442384125,0.33008289943934577,0.3512471338423103,0.32712637132398115,0.23372014516681325,0.23327504090255838,0.3011080816244284,0.3850000878234313,0,0.3554965036253751,0.30335546330348784,0.2755798077503765,0.26620879667053493,0.2484182007348098
Marktplatz,0.5413718621892155,0.40872566149619316,0.1742507101247651,0.23429665468209065,0.5312431711589519,0.31711593520248527,0.2161649519874037,0.3808634778638913,0.25051552981592917,0.18126544918780388,0.3849569258990293,0.18317705290822503,0.3554965036253751,0,0.4177181978224897,0.25118221597795964,0.24080492101508288,0.24522814312365282
Augustusplatz,0.21521728126446216,0.17218978896729453,0.3302236627539575,0.2794288417276498,0.32444497701163555,0.22662594137776057,0.2831163695560537,0.2123101225558366,0.20700454249702138,0.27748263814212537,0.18021923299710493,0.35054856610990726,0.30335546330348784,0.4177181978224897,0,0.3137848996318983,0.29322611188502357,0.3045044357002572
Hauptmarkt,0.3936818012208957,0.27353909059273507,0.17948250111303554,0.23308018679134662,0.3747619342255664,0.3319829615753629,0.24319215530121846,0.34480758951687995,0.21730576311928973,0.15052575920895322,0.25156583361298823,0.2977285215526285,0.2755798077503765,0.25118221597795964,0.3137848996318983,0,0.18285281474409248,0.1992849870427374
Herderplatz,0.41396857985271973,0.234687806393798,0.1680970115588137,0.27243015694768047,0.39432525655994605,0.3977598705033466,0.24582302053736227,0.33547064478894667,0.18276326694434122,0.12029071812708539,0.25489896152180513,0.26057318784161615,0.26620879667053493,0.24080492101508288,0.29322611188502357,0.18285281474409248,0,0.11353855931217077
Theaterplatz,0.40059916080373603,0.22388794386976313,0.1343442247352088,0.28114787455498197,0.40894582915772876,0.38698977676187374,0.24150539342851765,0.3338818507405985,0.1530553883622024,0.1193580139627285,0.24880039410043775,0.2635200199514487,0.2484182007348098,0.24522814312365282,0.3045044357002572,0.1992849870427374,0.11353855931217077,0
