site,Gendarmenmarkt,Hauptwache,Römerberg,Zeil,Bebelplatz,Alexanderplatz,Marienplatz,Odeonsplatz,Konstablerwache,Alter Markt,Rathausmarkt,Naschmarkt,Burgplatz,Marktplatz,Augustusplatz,Hauptmarkt,Herderplatz,Theaterplatz
Gendarmenmarkt,0,0.24345553682450619,0.5932073043244557,0.43513113403557296,0.47808846373520497,0.44369353457748917,0.5431870568565222,0.34476462807450686,0.40555419311405294,0.5126422928116101,0.26724655066089886,0.6801957941771818,0.4220267973318055,0.7530813571898538,0.27287574648206253,0.5252590896958464,0.5332387085990622,0.506005365303261
Hauptwache,0.24345553682450619,0,0.47071843954361775,0.35530158957921254,0.5798138447813564,0.39689919148468233,0.4313169946214139,0.33856328085544657,0.24968224422434662,0.359675139283258,0.15561306472560293,0.5663860117088837,0.41887690391216886,0.6233369531650745,0.2443000363663444,0.3994889377824933,0.3519735959504422,0.33296785407618407
Römerberg,0.5932073043244557,0.47071843954361775,0,0.24447912777314262,0.7001161636067154,0.41860904601997745,0.27914443148807666,0.44782703460027135,0.3418606347062198,0.19383821558220157,0.4694695334166741,0.300791572392005,0.45386247261421675,0.26433518248916865,0.5650347461588634,0.17727771811777138,0.26216591637604353,0.28991065112980163
Zeil,0.43513113403557296,0.35530158957921254,0.24447912777314262,0,0.6411371648488406,0.3254669886950029,0.16577177742423793,0.3050145209077479,0.2708622703017804,0.24148570787260965,0.3507344946933523,0.28586183366746615,0.4470945389967242,0.3633152079892028,0.4534139288844226,0.25657421165901245,0.3182044979993658,0.3261594205268573
Bebelplatz,0.47808846373520497,0.5798138447813564,0.7001161636067154,0.6411371648488406,0,0.5577350869016076,0.7860081246203047,0.6277588803732487,0.6605899584808282,0.7358708261789179,0.5953654351798359,0.8832872127304738,0.31863855952893944,0.876085535204336,0.5104396149244819,0.6694310600196781,0.7556264211550086,0.7499860135428197
Alexanderplatz,0.44369353457748917,0.39689919148468233,0.41860904601997745,0.3254669886950029,0.5577350869016076,0,0.3776902675510588,0.3229288728767875,0.31908766572867986,0.40534398523552445,0.3328161115553305,0.47652160487306267,0.465119629539712,0.5036781538521333,0.3310402602355596,0.4188668043666769,0.4632445747698669,0.4430461877530565
Marienplatz,0.5431870568565222,0.4313169946214139,0.27914443148807666,0.16577177742423793,0.7860081246203047,0.3776902675510588,0,0.3683004961031568,0.31813716133995196,0.2432793494723616,0.41167896970163825,0.16370486549225213,0.5873804075661481,0.3019605736018119,0.531799594102831,0.3017523174532675,0.31586396665309185,0.33429354169422565
Odeonsplatz,0.34476462807450686,0.33856328085544657,0.44782703460027135,0.3050145209077479,0.6277588803732487,0.3229288728767875,0.3683004961031568,0,0.27948197614196796,0.3784017188997089,0.28752866076460476,0.48886947690757016,0.4829148095860705,0.607003768571154,0.31217669733017395,0.45198359479488875,0.4233683529238156,0.3827646898498659
Konstablerwache,0.40555419311405294,0.24968224422434662,0.3418606347062198,0.2708622703017804,0.6605899584808282,0.31908766572867986,0.31813716133995196,0.27948197614196796,0,0.23154929830880938,0.2271216098234468,0.4348480943836094,0.4486875867244662,0.4975811787175321,0.3003789376655569,0.3172059651869782,0.2721064734618554,0.2099701662915622
Alter Markt,0.5126422928116101,0.359675139283258,0.19383821558220157,0.24148570787260965,0.7358708261789179,0.40534398523552445,0.2432793494723616,0.3784017188997089,0.23154929830880938,0,0.374374667801836,0.32314560493247485,0.4911344301974959,0.33938543511622876,0.47759040021818455,0.17592056546749693,0.13182909589921685,0.1395230914957078
