site,Gendarmenmarkt,Hauptwache,Römerberg,Zeil,Bebelplatz,Alexanderplatz,Marienplatz,Odeonsplatz,Konstablerwache,Alter Markt,Rathausmarkt,Naschmarkt,Burgplatz,Marktplatz,Augustusplatz,Hauptmarkt,Herderplatz,Theaterplatz
Gendarmenmarkt,0,0.2538703138079825,0.5936461451450485,0.4308213462926757,0.5009515277567,0.44143595897933674,0.5475586609531947,0.33669362580149287,0.4175441457495948,0.5298784073667827,0.271003040844584,0.683717675365553,0.41368304625240293,0.7542478917353443,0.2627029593361854,0.5167863870500478,0.5601440218722425,0.5352604590132801
Hauptwache,0.2538703138079825,0,0.44868207684202116,0.32827691247446666,0.616083848509943,0.3849743208077247,0.4082048702058886,0.30983545510693056,0.24190146423763992,0.353303324405397,0.14892641598460965,0.5422014239076192,0.4212697237111063,0.6020759185079243,0.24121010357705103,0.37339786670029373,0.3580826520359122,0.33982063706475374
Römerberg,0.5936461451450485,0.44868207684202116,0,0.23724059483751572,0.7458839849255755,0.420789229371545,0.26362460300543683,0.4315593455552793,0.3251110683677684,0.19538235926864023,0.45244490101699475,0.28522256136067303,0.47742123766905414,0.26520686237538116,0.5541956973780501,0.1841320412647154,0.25859088659246493,0.28157508054355523
Zeil,0.4308213462926757,0.32827691247446666,0.23724059483751572,0,0.6729975283590985,0.3263913507501769,0.17295502841961713,0.28512990541995026,0.2545084251816963,0.2416421802503084,0.3299244008299965,0.2933695743465517,0.4486732909497819,0.3677582800254266,0.4346811303139286,0.24138578563041616,0.31740454361620735,0.322879526247759
Bebelplatz,0.5009515277567,0.616083848509943,0.7458839849255755,0.6729975283590985,0,0.5750649363849885,0.8245716380776461,0.65489071582564,0.700593036060794,0.7977043174629229,0.6216544614180793,0.9214913458978049,0.33399482359069804,0.9198846416170843,0.5211866330487115,0.7134087244866874,0.8249563450078085,0.8202030558511418
Alexanderplatz,0.44143595897933674,0.3849743208077247,0.420789229371545,0.3263913507501769,0.5750649363849885,0,0.3861155688291131,0.3344393120489096,0.328044193116672,0.42149160120730644,0.3325385832348725,0.48529933932995406,0.460601128093823,0.5025578884129938,0.3230409621093218,0.4159104457408434,0.4805831468023862,0.464147224178866
Marienplatz,0.5475586609531947,0.4082048702058886,0.26362460300543683,0.17295502841961713,0.8245716380776461,0.3861155688291131,0,0.3582860371763612,0.2989629552330245,0.22403238979261275,0.39857386856709903,0.16281878818967058,0.5963478703223659,0.2946226085371048,0.5218543330978009,0.28284541131814694,0.29420786049754016,0.30940256268296645
Odeonsplatz,0.33669362580149287,0.30983545510693056,0.4315593455552793,0.28512990541995026,0.65489071582564,0.3344393120489096,0.3582860371763612,0,0.27068519944214026,0.3706608146359962,0.27401817355435576,0.4795862443784767,0.4776974903302502,0.5936646963988897,0.30569281018978006,0.42772706633724444,0.4199279483757818,0.3828286028451976
Konstablerwache,0.4175441457495948,0.24190146423763992,0.3251110683677684,0.2545084251816963,0.700593036060794,0.328044193116672,0.2989629552330245,0.27068519944214026,0,0.22735294410393517,0.2353057857515455,0.4161799040041705,0.46399728075937424,0.4794201469976019,0.3111592849246358,0.3032703977851863,0.27632989240086475,0.21819774499603947
Alter Markt,0.5298784073667827,0.353303324405397,0.19538235926864023,0.2416421802503084,0.7977043174629229,0.42149160120730644,0.22403238979261275,0.3706608146359962,0.22735294410393517,0,0.37619043308563377,0.30163039717310614,0.5306121705383938,0.3284169341347835,0.4862161243202903,0.18168556799875976,0.13059710275481276,0.13242977822843785
Rathausmarkt,0.271003040844584,0.14892641598460965,0.45244490101699475,0.3299244008299965,0.6216544614180793,0.3325385832348725,0.39857386856709903,0.27401817355435576,0.2353057857515455,0.37619043308563377,0,0.5221775822878378,0.4233285600757041,0.5978735986153462,0.2062363766873902,0.38823049780477614,0.3973774574058367,0.36817174882600273
Naschmarkt,0.683717675365553,0.5422014239076192,0.28522256136067303,0.2933695743465517,0.9214913458978049,0.48529933932995406,0.16281878818967058,0.4795862443784767,0.4161799040041705,0.30163039717310614,0.5221775822878378,0,0.6809279254402151,0.2233198442173253,0.6515823793485653,0.34860536511015583,0.34567702420224833,0.3822438123830624
Burgplatz,0.41368304625240293,0.4212697237111063,0.47742123766905414,0.4486732909497819,0.33399482359069804,0.460601128093823,0.5963478703223659,0.4776974903302502,0.46399728075937424,0.5306121705383938,0.4233285600757041,0.6809279254402151,0,0.6739407168411046,0.40449681562680323,0.43611063988285864,0.5466739669613441,0.5498285889750716
